# Wes Sander, MoltFire
pglib_opf_case118_ieee: AC-OPF objective 97213.608484 $/h (verified feasible at 1e-06 pu)

gen  bus  Pg[MW]  Qg[MVAr]
  0    1     0.0000    15.0000
  1    4     0.0000    71.0658
  2    6     0.0000    46.7042
  3    8     0.0000    -4.8560
  4   10   505.0000   -86.3282
  5   12     0.0000    42.9997
  6   15     0.0000    29.9986
  7   18     0.0000    41.3927
  8   19     0.0000    23.9993
  9   24     0.0000     9.2673
 10   25    77.9698   -46.9999
 11   26   485.0000    -6.1311
 12   27     0.0000    32.0977
 13   31    17.0000     8.9999
 14   32     0.0000    35.8358
 15   34     0.0000     8.5639
 16   36     0.0000    23.6403
 17   40     0.0000    38.7155
 18   42     0.0000    22.2990
 19   46    20.0000    -0.5449
 20   49   223.0000   -84.9999
 21   54    53.0000    26.9981
 22   55     0.0000    22.9984
 23   56     0.0000    14.9987
 24   59   308.0000   108.7666
 25   61   195.0000   -11.2493
 26   62     0.0000     1.5019
 27   65     0.0000   199.9997
 28   66     0.0000   -66.9999
 29   69   831.9755  -256.0969
 30   70     0.0000    31.9995
 31   72     0.0000    -3.0418
 32   73     0.0000     1.3290
 33   74     0.0000     9.0000
 34   76     0.0000    23.0000
 35   77     0.0000    69.9998
 36   80   509.0000   -28.5163
 37   85     0.0000    22.9999
 38   87     0.0000     4.9995
 39   89   471.4635    -8.7596
 40   90     0.0000    45.9739
 41   91     0.0000     1.8173
 42   92     0.0000     8.9998
 43   99     0.0000     7.5290
 44  100   653.0000     8.8993
 45  103    31.2765     9.9370
 46  104     0.0000    22.9999
 47  105     0.0000    22.9998
 48  107     0.0000    12.1808
 49  110     0.0000    22.9998
 50  111     0.0000     2.9171
 51  112     0.0000    16.2429
 52  113     0.0000    -2.7953
 53  116     0.0000   281.9518

bus  Vm[pu]  Va[deg]
   1  1.02241  -25.5581
   2  1.02928  -25.1897
   3  1.03027  -24.6088
   4  1.06000  -20.8086
   5  1.05807  -20.2789
   6  1.05193  -23.2783
   7  1.04734  -23.8209
   8  1.04597  -14.8688
   9  1.06000   -7.0320
  10  1.05560    1.3480
  11  1.04046  -23.5624
  12  1.04135  -24.3763
  13  1.02971  -24.6172
  14  1.04197  -24.7261
  15  1.04670  -24.1673
  16  1.03997  -24.1548
  17  1.06000  -21.4935
  18  1.05105  -23.6983
  19  1.04608  -24.2849
  20  1.03367  -23.1252
  21  1.02866  -21.4482
  22  1.03257  -18.8597
  23  1.05031  -13.8873
  24  1.05204  -13.3335
  25  1.06000   -7.7416
  26  1.02833   -3.7127
  27  1.04154  -19.6265
  28  1.03237  -21.0233
  29  1.02997  -21.7707
  30  1.03035  -16.6517
  31  1.03207  -21.6197
  32  1.04185  -20.1120
  33  1.04514  -24.8519
  34  1.05648  -24.4837
  35  1.05440  -24.8957
  36  1.05477  -24.9070
  37  1.06000  -24.0455
  38  1.01848  -19.3099
  39  1.02719  -27.1924
  40  1.01950  -28.2529
  41  1.00789  -28.6981
  42  1.00119  -27.2883
  43  1.02753  -24.6651
  44  1.00033  -22.5307
  45  0.98910  -20.8011
  46  0.99964  -17.7692
  47  1.00390  -14.9914
  48  1.00749  -16.7182
  49  1.00986  -15.7993
  50  1.00432  -17.5753
  51  0.99311  -19.7685
  52  0.98893  -20.5917
  53  0.99270  -21.2072
  54  1.01121  -20.1586
  55  1.01271  -20.3537
  56  1.01152  -20.2219
  57  1.00580  -19.4970
  58  0.99882  -20.2398
  59  1.06000  -15.1783
  60  1.05751  -13.5178
  61  1.06000  -12.7118
  62  1.05410  -13.9885
  63  1.03506  -13.3926
  64  1.04460  -12.4517
  65  1.05146  -10.7124
  66  1.06000  -13.6696
  67  1.05201  -14.5778
  68  1.04950   -6.9799
  69  1.03751    0.0000
  70  1.01800   -8.4159
  71  1.02157   -9.0972
  72  1.03447  -11.7821
  73  1.02192   -9.2559
  74  0.99543   -8.6845
  75  0.99884   -7.2053
  76  0.98439   -7.8366
  77  1.03192   -2.1711
  78  1.02783   -2.4125
  79  1.03033   -2.0468
  80  1.05084    0.3614
  81  1.02958   -4.2040
  82  1.02637   -0.1040
  83  1.03007    0.7669
  84  1.03626    2.6839
  85  1.04602    3.8938
  86  1.04015    2.5090
  87  1.05484    2.3986
  88  1.04578    6.6732
  89  1.06000   10.3021
  90  1.04115    5.1275
  91  1.04500    5.7302
  92  1.04931    7.4014
  93  1.03655    5.8932
  94  1.03196    4.9826
  95  1.01818    3.0085
  96  1.02455    1.4872
  97  1.03318    0.5984
  98  1.04386    2.4715
  99  1.05602    5.2547
 100  1.06000    9.0260
 101  1.04347    7.5433
 102  1.04676    7.3535
 103  1.04145    4.8860
 104  1.03532    2.0469
 105  1.03300    0.8282
 106  1.02699    0.8446
 107  1.02621   -1.8093
 108  1.02447   -0.8084
 109  1.02139   -1.4524
 110  1.01705   -2.8564
 111  1.01998   -2.9044
 112  1.00338   -5.3889
 113  1.05730  -21.4005
 114  1.03719  -20.3926
 115  1.03678  -20.3986
 116  1.06000   -7.4147
 117  1.02628  -25.7697
 118  0.98588   -7.9308
