# Wes Sander, MoltFire
pglib_opf_case14_ieee: AC-OPF objective 2178.081772 $/h (verified feasible at 1e-06 pu)

gen  bus  Pg[MW]  Qg[MVAr]
  0    1   274.9772     1.4067
  1    2     0.0000    29.9960
  2    3     0.0000    34.3890
  3    6     0.0000    15.2841
  4    8     0.0000    10.5798

bus  Vm[pu]  Va[deg]
   1  1.06000    0.0000
   2  1.03243   -6.0063
   3  1.00653  -13.9145
   4  1.00701  -11.2237
   5  1.00970   -9.5983
   6  1.05999  -15.2353
   7  1.04241  -14.3099
   8  1.05999  -14.3099
   9  1.03933  -15.9178
  10  1.03543  -16.0872
  11  1.04402  -15.7914
  12  1.04454  -16.1079
  13  1.03921  -16.1810
  14  1.02103  -17.0598
