# Wes Sander, MoltFire
pglib_opf_case162_ieee_dtc: AC-OPF objective 108075.648695 $/h (verified feasible at 1e-06 pu)

gen  bus  Pg[MW]  Qg[MVAr]
  0    6   833.4505   339.6473
  1   73    38.4288    95.2214
  2   76  1127.0000  -110.5392
  3   99   138.7346    57.0325
  4  101    87.8979    38.6000
  5  108   599.0359    34.0004
  6  114   146.3250    32.9999
  7  118   173.2051   100.0000
  8  121   681.3579   232.7046
  9  125  2300.0354    49.9957
 10  130   572.7763    77.5327
 11  131   703.0867    98.8385

bus  Vm[pu]  Va[deg]
   1  1.06000    1.8254
   2  1.04379   -3.1127
   3  1.01341   -5.7096
   4  1.02288   -7.3061
   5  1.05741    3.0409
   6  1.04532    7.8660
   7  1.03676   -3.4507
   8  1.05661   -6.8108
   9  1.03639   -0.7801
  10  0.98839  -11.7049
  11  0.99685   -8.1501
  12  1.05936   -6.6559
  13  1.03977   -4.4923
  14  1.05348   -3.7147
  15  1.02023   -0.0812
  16  1.05369   -5.0659
  17  1.05775   -4.3968
  18  1.06000   -8.7905
  19  1.00191  -12.6309
  20  0.96830  -10.0371
  21  1.04670   -5.6225
  22  1.02911  -12.0738
  23  0.99449  -10.6016
  24  1.00310   -8.8554
  25  0.98829   -4.8351
  26  0.99291    3.3061
  27  0.99569   -5.7237
  28  0.98565  -11.5763
  29  0.98952  -13.2068
  30  1.01118  -14.7871
  31  0.98868  -12.3546
  32  1.01388  -15.9676
  33  0.99935  -17.8622
  34  0.99194  -17.7380
  35  0.98592  -19.1536
  36  0.99348  -18.1298
  37  0.99857   -5.5444
  38  1.01278  -12.5924
  39  0.97913   -7.5577
  40  0.99110  -16.5673
  41  0.99265  -14.5217
  42  0.98392   -7.0211
  43  0.98651   -9.9834
  44  0.98148  -10.4643
  45  0.98355  -11.9206
  46  0.98891  -14.6679
  47  0.97287  -16.6010
  48  0.97585  -14.4294
  49  0.97078  -16.9650
  50  0.97783  -12.9177
  51  0.98087  -11.5039
  52  1.01409  -13.4497
  53  0.98584   -7.7020
  54  0.97232  -13.7259
  55  0.98537   -7.5014
  56  0.97923  -16.0225
  57  0.97345  -13.4006
  58  1.01076   -4.5465
  59  0.98602   -9.1447
  60  1.00690   -9.7599
  61  0.99183   -7.2565
  62  1.02524    6.0792
  63  0.99454   -5.5038
  64  1.02919   -4.8814
  65  1.02983   -1.0935
  66  1.00148   -7.3317
  67  0.99142  -16.9003
  68  1.00259  -15.1592
  69  1.00878  -13.7446
  70  1.00230   -2.1039
  71  0.97326   -9.4582
  72  1.04053   -3.5998
  73  0.98299   -1.6461
  74  0.99877   -8.1416
  75  1.03306    1.6165
  76  0.94000    9.2167
  77  1.00117  -15.2993
  78  1.00992  -13.0958
  79  1.01940  -10.8694
  80  0.99153  -13.7011
  81  0.98814  -20.9673
  82  0.98839  -16.4959
  83  0.99059  -15.5219
  84  0.98285  -11.7933
  85  0.95446  -17.6089
  86  0.95283  -20.6338
  87  0.96228  -18.7763
  88  0.97335  -19.3955
  89  0.97333  -21.7252
  90  0.94425  -23.9890
  91  0.98501  -10.4799
  92  0.97557  -11.6636
  93  0.98683   -5.9956
  94  1.00474  -11.2275
  95  1.00789  -10.3820
  96  0.99062  -19.5311
  97  1.00041  -11.4379
  98  1.00457   -8.8872
  99  1.01297   -4.8824
 100  0.97811  -20.4466
 101  0.99773  -14.1141
 102  0.97706  -11.2684
 103  0.98951   -9.0297
 104  0.98534  -19.3614
 105  1.01746  -13.0474
 106  0.97862  -17.4225
 107  0.96253  -18.3386
 108  0.94000    0.0000
 109  0.99728   -7.2637
 110  1.04463   -2.2112
 111  1.01805   -6.8450
 112  1.04777    0.2932
 113  1.04118   -3.6371
 114  1.02339    4.0638
 115  1.01987   -9.7181
 116  1.02280  -11.1899
 117  1.01470  -11.7719
 118  1.01937   -8.2363
 119  1.00759   -9.1498
 120  1.04359   -0.0766
 121  1.03287    7.5082
 122  0.94646  -20.4387
 123  0.94000  -20.8573
 124  0.98886   -5.2322
 125  1.01947   -4.5286
 126  1.00995   -1.8086
 127  1.02136   -4.7702
 128  1.03910   -0.0874
 129  1.04526   -0.1781
 130  1.01944    9.3515
 131  1.04021    7.8135
 132  1.04534   -3.0894
 133  1.05195   -4.8297
 134  1.03939   -3.5375
 135  1.04880   -4.8738
 136  1.04221   -5.1338
 137  1.04585   -5.0952
 138  1.04809   -3.9496
 139  1.04324   -4.6996
 140  1.04535   -5.0226
 141  1.00816   -6.7575
 142  1.02128  -13.7003
 143  1.00626  -12.3393
 144  1.02686   -9.0090
 145  1.02948   -7.1392
 146  1.01013  -12.8389
 147  1.01016  -12.8283
 148  1.01192  -13.9145
 149  1.00166   -2.0788
 150  0.99959   -2.6823
 151  0.99105   -4.5978
 152  1.01791   -2.9519
 153  0.99499   -4.1756
 154  0.95764  -10.0098
 155  0.96680   -8.3168
 156  0.96168   -9.6497
 157  0.96824   -9.9607
 158  0.95361  -11.1477
 159  0.95263  -11.0750
 160  0.95441  -10.6247
 161  0.98757   -5.7576
 162  0.98601   -6.4457
