# Wes Sander, MoltFire
pglib_opf_case179_goc: AC-OPF objective 754266.420406 $/h (verified feasible at 1e-06 pu)

gen  bus  Pg[MW]  Qg[MVAr]
  0    4   305.0500    22.2387
  1    6   231.0800   -10.2908
  2    9   807.3400  -418.3397
  3   11  1587.5566   150.5939
  4   13   558.1100  -147.7200
  5   15  1565.3200   242.6231
  6   18   536.4100  -134.2423
  7   30  3028.7700   754.1296
  8   35  1449.2800   582.3165
  9   36  1015.0500   234.6891
 10   40    20.8500    34.5227
 11   43   126.9300    59.7754
 12   45   492.8500   479.4243
 13   47    71.0200    10.5513
 14   65   444.3382    93.0504
 15   70   102.2100   194.3274
 16   77  3641.0800  -297.4572
 17   79  5244.1543  -897.0889
 18  103   849.5585  -340.9137
 19  112   409.1200  -148.2727
 20  116   312.1600    -2.8828
 21  118  1578.1500  1984.7535
 22  138   312.5700   307.0895
 23  140   929.2788   779.6982
 24  144   598.3300  -169.2401
 25  148  2323.9140   571.9226
 26  149   928.7700   160.1396
 27  159   945.1201   -23.8174
 28  162   163.5900    97.5983

bus  Vm[pu]  Va[deg]
   2  0.93205  -55.4442
   3  0.92781  -48.9645
   4  0.97934  -52.7656
   5  1.00795  -19.9798
   6  1.00644  -18.7035
   7  0.99938  -41.1775
   8  0.93068  -39.9918
   9  0.90200  -36.9406
  10  0.92885  -40.2990
  11  1.00385   -6.7856
  12  1.04600  -51.1839
  13  0.95759  -49.0869
  14  1.06056  -50.4494
  15  0.97173  -49.9812
  16  1.06355  -54.5874
  17  0.94703  -39.0214
  18  0.89800  -36.9767
  19  1.06799  -54.8137
  20  1.05359  -51.0263
  21  1.06231  -50.6037
  22  1.08048  -51.7223
  23  1.09588  -54.2949
  24  1.07666  -51.0686
  25  1.08137  -54.2029
  26  1.09236  -51.6019
  27  1.07291  -54.7092
  28  1.01083  -41.9393
  29  1.06176  -49.4308
  30  0.99588    8.3697
  31  1.03482    5.7598
  32  1.10800   -4.7251
  33  0.99527   -6.3838
  34  0.95992   -9.6805
  35  0.97147   -7.9547
  36  0.92491   -2.3220
  37  1.00303  -62.9102
  38  1.01959  -66.4911
  39  0.97902  -68.1736
  40  0.98716  -68.6156
  41  0.96958  -69.4145
  42  0.97863  -69.4907
  43  0.94905  -68.2346
  44  0.93723  -38.1978
  45  0.94055  -36.6732
  46  0.97540  -67.8663
  47  0.94299  -66.6180
  48  0.97388  -67.9164
  49  1.01254  -65.7208
  50  0.97129  -69.9730
  51  0.98192  -69.6911
  52  0.98642  -68.8647
  53  0.98642  -68.8647
  54  0.97589  -69.9714
  55  0.97047  -68.9075
  56  0.98830  -67.0892
  57  0.97276  -69.9523
  58  0.97068  -69.5683
  59  0.97268  -68.6036
  60  0.97537  -67.7062
  61  0.95935  -68.5378
  62  0.97163  -68.4783
  63  0.99774  -64.5142
  64  1.00284  -62.9405
  65  0.95760  -19.0975
  66  1.03874  -20.3451
  67  0.99913  -13.3692
  68  0.99670  -12.0517
  69  1.02507  -10.8384
  70  0.97394  -11.7307
  71  0.99259  -12.2096
  72  1.02511  -10.9213
  73  1.09947   -4.9456
  74  1.06295   -5.4593
  75  1.05576  -10.1312
  76  1.02755   -9.0632
  77  0.91218    0.0000
  78  1.04255   -5.3981
  79  0.91899   10.2723
  80  1.01686    1.7602
  81  1.05967  -14.0423
  82  1.03991  -12.9186
  83  1.09417  -25.3146
  84  0.96656   -6.2179
  85  0.91449   -5.3269
  86  1.08569  -18.7237
  87  1.05293  -14.4019
  88  1.07442  -16.7873
  89  1.09335  -21.6515
  90  1.08686  -19.3667
  91  1.06000  -15.4310
  92  1.07783  -17.7844
  93  1.08926  -20.4091
  94  1.09599  -22.6556
  95  1.05977  -15.4612
  96  1.07746  -17.8450
  97  1.08875  -20.5033
  98  1.09544  -22.7797
  99  1.04619   -8.9662
 100  1.08088  -48.9267
 101  1.10800  -42.4326
 102  0.98618  -59.6905
 103  0.89800  -54.3908
 104  0.99956  -61.7545
 105  1.10358  -46.4627
 106  1.09897  -47.3082
 107  0.99873  -63.3559
 108  1.00458  -63.3039
 109  1.10800  -65.0428
 110  0.99588  -63.4941
 111  1.09664  -35.8862
 112  0.97943  -33.5005
 113  1.10191  -37.4475
 114  1.02681  -35.6108
 115  0.99572  -45.0689
 116  0.97378  -51.5676
 117  1.07255  -53.9316
 118  0.99268  -51.3783
 119  0.96775  -55.2286
 120  1.09284  -38.4154
 121  1.06845  -43.4356
 122  1.05144  -46.1242
 123  0.99711  -52.1137
 124  1.02479  -37.9352
 125  1.00336  -43.4458
 126  1.02479  -37.9352
 127  1.00336  -43.4458
 128  1.00157  -47.0588
 129  0.98264  -53.1532
 130  0.99236  -47.3295
 131  0.97158  -54.0480
 132  0.98061  -56.0406
 133  1.01186  -61.9740
 134  0.98021  -56.7705
 135  1.00565  -62.7175
 136  1.03454  -62.1578
 137  0.93516  -74.2327
 138  1.06786  -53.8249
 139  1.02953  -55.9150
 140  0.92379  -85.0285
 141  0.91438  -87.1631
 142  0.99340  -64.5516
 143  0.91639  -79.6779
 144  0.93746  -65.3823
 145  0.96205  -67.1651
 146  0.95722  -68.1803
 147  1.01192  -46.2018
 148  0.99377  -32.7690
 149  0.95136  -65.2499
 150  0.95135  -70.8934
 151  0.97953  -66.8651
 152  1.00714  -64.9109
 153  1.00288  -66.6641
 154  0.93769  -69.2655
 155  0.93853  -30.7368
 156  0.92844  -27.2976
 157  0.93294  -28.5175
 158  0.94226  -26.8248
 159  0.95501  -23.5758
 160  0.95156  -33.0288
 161  0.93408  -29.9410
 162  0.89800  -28.7953
 163  0.94950  -36.5316
 164  0.94964  -34.9735
 165  0.93459  -30.0969
 166  0.95395  -31.0958
 167  0.93051  -30.0830
 168  1.08585  -27.1993
 169  1.04191  -33.5290
 170  1.08491  -27.4249
 171  1.04128  -33.6687
 172  1.10800  -27.3525
 173  1.10800  -33.8602
 174  1.01369  -64.0006
 175  1.01202  -65.9661
 176  1.01377  -64.0055
 177  1.01205  -65.9679
 178  1.01274  -64.0387
 179  1.01060  -66.0024
 180  1.05907  -16.5074
