# Wes Sander, MoltFire
pglib_opf_case200_activ: AC-OPF objective 27557.571168 $/h (verified feasible at 1e-06 pu)

gen  bus  Pg[MW]  Qg[MVAr]
  0   49     1.3600     0.5274
  1   50     1.3600     0.6545
  2   51     1.3600     0.5288
  3   52     1.3600     0.6540
  4   53     2.7200     0.7018
  5   65    86.5000    -4.9655
  6   67     1.4100    -0.5695
  7   68     8.3800    -3.4094
  8   69     8.3800    -3.4095
  9   70     8.3800    -3.4094
 10   71     8.3800    -3.4095
 11   72     8.3800    -3.4095
 12   73     8.3800    -3.4094
 13   76     1.2000     0.5200
 14   77     0.7200     0.2524
 15   78     0.0000     0.0000
 16   79     0.0000     0.0000
 17   90     0.9600    -0.3595
 18   91     1.5000    -0.5497
 19   92     0.0000     0.0000
 20   94     5.4000    -2.1998
 21  104    67.6000     0.8124
 22  105   154.8000     6.4668
 23  114     1.4000     0.2536
 24  115   133.5000    23.6273
 25  125    39.0200     6.3899
 26  126    39.0200    16.1315
 27  127    39.0200    22.9856
 28  135   133.9200    26.6592
 29  136   133.9200    25.7319
 30  147    92.4000    11.1114
 31  151     1.6200    -0.4859
 32  152    23.1700    -5.3747
 33  153    23.1700    -1.8877
 34  154    23.1700    -5.5680
 35  155    23.1700    -5.5835
 36  161     0.0000     0.0000
 37  164     0.0000     0.0000
 38  165     0.0000     0.0000
 39  166     0.0000     0.0000
 40  167     2.8200    -1.0399
 41  168     0.0000     0.0000
 42  169     0.0000     0.0000
 43  170     2.8200    -1.0399
 44  182     5.2500     0.8798
 45  183     7.9800     1.9810
 46  189   383.4037   -46.6647
 47  196     0.0000     0.0000
 48  197     0.0000     0.0000

bus  Vm[pu]  Va[deg]
   1  1.07262   -6.5556
   2  1.07250   -6.5672
   3  1.06510   -9.2078
   4  1.06507   -9.2105
   5  1.07482   -3.1957
   6  1.07470   -3.2081
   7  1.06702   -7.1944
   8  1.06668   -7.2304
   9  1.06953   -6.9050
  10  1.06885   -6.9863
  11  1.08181   -6.9589
  12  1.08181   -6.9594
  13  1.08177   -6.9632
  14  1.08185   -5.7175
  15  1.08610   -6.5156
  16  1.08550   -6.5818
  17  1.07116   -7.6630
  18  1.07115   -7.6644
  19  1.07115   -7.6642
  20  1.07114   -7.6648
  21  1.07109   -7.6717
  22  1.07863   -7.3328
  23  1.07861   -7.3349
  24  1.07860   -7.3362
  25  1.08071   -3.6269
  26  1.08069   -3.6289
  27  1.08012   -7.2930
  28  1.08008   -7.2973
  29  1.07171   -6.5285
  30  1.07084   -6.6150
  31  1.07315   -5.4079
  32  1.07314   -5.4089
  33  1.07305   -5.4191
  34  1.06619   -8.5429
  35  1.06588   -8.5796
  36  1.07936   -5.7346
  37  1.07931   -5.7401
  38  1.07890   -5.7832
  39  1.06376   -9.6551
  40  1.06373   -9.6582
  41  1.09032   -7.3414
  42  1.06568  -10.1802
  43  1.06959   -5.9217
  44  1.06740   -9.5666
  45  1.08478   -1.9431
  46  1.08389   -2.6916
  47  1.07143   -7.4756
  48  1.07345   -3.7865
  49  1.07638   -3.4348
  50  1.07617   -3.5210
  51  1.07678   -3.3806
  52  1.07603   -3.5373
  53  1.07765   -3.0172
  54  1.07002   -7.7573
  55  1.08507   -2.1675
  56  1.08435   -2.5666
  57  1.06422   -9.6039
  58  1.08535   -5.5953
  59  1.07028   -7.0974
  60  1.07929   -6.0770
  61  1.08226   -2.8942
  62  1.06212  -10.4123
  63  1.07938   -7.5351
  64  1.07803   -2.2433
  65  1.07123    2.1231
  66  1.07286   -7.1457
  67  1.07236   -7.0381
  68  1.06471   -6.0200
  69  1.07015   -6.7410
  70  1.06691   -6.2973
  71  1.07052   -6.7988
  72  1.07074   -6.8279
  73  1.06866   -6.5208
  74  1.06971   -4.6867
  75  1.08143   -5.6771
  76  1.08558   -5.2275
  77  1.08696   -4.9177
  78  1.08143   -5.6771
  79  1.08143   -5.6771
  80  1.09243   -6.6996
  81  1.08479   -3.6187
  82  1.08169   -4.3737
  83  1.08218   -4.8026
  84  1.07107   -5.4065
  85  1.06577   -9.1061
  86  1.06816   -7.0504
  87  1.06881   -8.4918
  88  1.06812   -9.6145
  89  1.08319   -5.5438
  90  1.07591   -4.4571
  91  1.08094   -5.1677
  92  1.08319   -5.5438
  93  1.08320   -7.0579
  94  1.07791   -6.3028
  95  1.09402   -5.6928
  96  1.08459   -4.2682
  97  1.07386   -7.4495
  98  1.07934   -5.2986
  99  1.07535   -6.0570
 100  1.10000   -7.2414
 101  1.06911   -6.9178
 102  1.08545   -1.7614
 103  1.08408   -2.6428
 104  1.08604    1.1221
 105  1.08707    2.7064
 106  1.08212   -3.3487
 107  1.06780   -5.4567
 108  1.07918   -6.1090
 109  1.07549   -6.5867
 110  1.06917   -6.9251
 111  1.08689   -7.4439
 112  1.08397   -2.2637
 113  1.07276   -4.8669
 114  1.08574   -1.9753
 115  1.09638    1.7651
 116  1.07920   -5.0377
 117  1.07273   -6.2603
 118  1.07537   -6.2651
 119  1.06875   -7.2791
 120  1.06811   -8.5317
 121  1.08363   -2.3522
 122  1.08355   -3.2120
 123  1.08472   -4.4894
 124  1.07752   -5.8574
 125  1.09180   -2.5290
 126  1.09472   -3.2574
 127  1.09169   -3.9022
 128  1.08320   -2.4926
 129  1.07072   -4.8931
 130  1.08044   -3.9257
 131  1.06966   -6.9164
 132  1.06729   -6.5999
 133  1.08621   -4.1052
 134  1.08392   -4.8815
 135  1.09413   -1.9466
 136  1.09269   -2.3338
 137  1.06566   -8.9146
 138  1.07810   -5.2671
 139  1.07198   -6.7930
 140  1.07623   -5.9303
 141  1.06915   -6.9499
 142  1.06800   -7.0363
 143  1.08236   -6.0439
 144  1.07542   -5.4954
 145  1.06354  -10.2634
 146  1.08529   -3.7750
 147  1.09435    0.7545
 148  1.06433   -7.5517
 149  1.06983   -8.1120
 150  1.07080   -9.1658
 151  1.06728   -7.5980
 152  1.06275   -6.4506
 153  1.06700   -5.9594
 154  1.06475   -6.9052
 155  1.06491   -6.9416
 156  1.08500   -4.4212
 157  1.08332   -5.0677
 158  1.07686   -7.2138
 159  1.06356   -9.8803
 160  1.06494  -10.3342
 161  1.06494  -10.3342
 162  1.07489   -5.7644
 163  1.08760   -7.3119
 164  1.08760   -7.3119
 165  1.08760   -7.3119
 166  1.08760   -7.3119
 167  1.08598   -7.0378
 168  1.08760   -7.3119
 169  1.08760   -7.3119
 170  1.08439   -6.7900
 171  1.07343   -5.1027
 172  1.08589   -6.1905
 173  1.08863   -7.2202
 174  1.09316   -6.4386
 175  1.08723   -7.4280
 176  1.06550   -9.9665
 177  1.07949   -5.0656
 178  1.08642   -4.5217
 179  1.09087   -6.3775
 180  1.08697   -6.5529
 181  1.06629  -10.2897
 182  1.06918   -9.5090
 183  1.06872   -9.8359
 184  1.08993   -7.6261
 185  1.06556   -9.9874
 186  1.08027   -5.4973
 187  1.08343   -1.4732
 188  1.08658   -3.9459
 189  1.08076    0.0000
 190  1.06967   -5.1442
 191  1.08502   -7.1276
 192  1.06816   -5.5453
 193  1.07019   -6.8216
 194  1.07200   -9.8304
 195  1.07948   -4.7388
 196  1.07948   -4.7388
 197  1.07948   -4.7388
 198  1.07649   -6.3452
 199  1.08402   -5.2395
 200  1.06970   -8.6269
