# Wes Sander, MoltFire
pglib_opf_case30_as: AC-OPF objective 803.127611 $/h (verified feasible at 1e-06 pu)

gen  bus  Pg[MW]  Qg[MVAr]
  0    1   176.1680   -15.5377
  1    2    48.8615    30.2678
  2    5    21.5249    30.4050
  3    8    22.2508    37.8329
  4   11    12.2674    11.8444
  5   13    12.0085    21.4454

bus  Vm[pu]  Va[deg]
   1  1.05000    0.0000
   2  1.03851   -3.6987
   3  1.02751   -5.7416
   4  1.02227   -6.9057
   5  1.01204  -10.4965
   6  1.01892   -8.0386
   7  1.00790   -9.5632
   8  1.02093   -8.3274
   9  1.02682  -10.1795
  10  1.01982  -12.0491
  11  1.05000   -8.8234
  12  1.03248  -11.3518
  13  1.06067  -10.4722
  14  1.01981  -12.3310
  15  1.01724  -12.5280
  16  1.01977  -11.9329
  17  1.01435  -12.2324
  18  1.00574  -13.0853
  19  1.00213  -13.2166
  20  1.00576  -12.9838
  21  1.01290  -12.6657
  22  1.01526  -12.7025
  23  1.01742  -13.2735
  24  1.02633  -13.9004
  25  1.01184  -13.1961
  26  0.99406  -13.6204
  27  1.01138  -12.5022
  28  1.01677   -8.5555
  29  0.99128  -13.7618
  30  0.97966  -14.6666
