# Wes Sander, MoltFire
pglib_opf_case30_ieee: AC-OPF objective 8208.515143 $/h (verified feasible at 1e-06 pu)

gen  bus  Pg[MW]  Qg[MVAr]
  0    1   218.8535     9.8558
  1    2    80.0444    25.1233
  2    5     0.0000    31.3088
  3    8     0.0000    40.0000
  4   11     0.0000    11.9904
  5   13     0.0000    10.5352

bus  Vm[pu]  Va[deg]
   1  1.06000    0.0000
   2  1.03573   -4.1089
   3  1.01477   -6.8531
   4  1.00416   -8.4452
   5  0.99599  -13.1210
   6  1.00127  -10.1561
   7  0.99121  -11.9132
   8  1.00199  -10.9347
   9  1.03647  -13.2676
  10  1.03195  -14.8995
  11  1.06000  -13.2676
  12  1.04609  -14.1921
  13  1.06000  -14.1921
  14  1.03085  -15.0981
  15  1.02601  -15.1816
  16  1.03239  -14.7559
  17  1.02701  -15.0773
  18  1.01580  -15.7935
  19  1.01294  -15.9614
  20  1.01690  -15.7544
  21  1.01956  -15.3551
  22  1.02015  -15.3411
  23  1.01509  -15.5671
  24  1.00902  -15.7287
  25  1.00587  -15.2935
  26  0.98799  -15.7229
  27  1.01257  -14.7578
  28  0.99782  -10.7955
  29  0.99250  -16.0143
  30  0.98089  -16.9169
