# Wes Sander, MoltFire
pglib_opf_case39_epri: AC-OPF objective 138415.563251 $/h (verified feasible at 1e-06 pu)

gen  bus  Pg[MW]  Qg[MVAr]
  0   30   889.0444   140.0000
  1   31   646.0000   300.0000
  2   32   725.0000   300.0000
  3   33   252.2643    67.5414
  4   34   508.0000   141.6043
  5   35   687.0000   223.3327
  6   36   580.0000    59.4799
  7   37    40.2401     0.0000
  8   38   865.0000    47.0252
  9   39  1100.0000   -19.2501

bus  Vm[pu]  Va[deg]
   1  1.04211   -9.7881
   2  1.06000   -6.8404
   3  1.04843  -10.6862
   4  1.03641  -11.2606
   5  1.04455   -9.7099
   6  1.04856   -8.9956
   7  1.03625  -11.0122
   8  1.03422  -11.4696
   9  1.05124  -10.9057
  10  1.05953   -6.9385
  11  1.05462   -7.6469
  12  1.04200   -7.7785
  13  1.05403   -7.7893
  14  1.04514   -9.8259
  15  1.03708  -11.8435
  16  1.04777  -11.1867
  17  1.04841  -11.3475
  18  1.04720  -11.5110
  19  1.06000  -10.4607
  20  0.99709  -11.8400
  21  1.04477   -8.5914
  22  1.05988   -3.9784
  23  1.05254   -4.1760
  24  1.05197  -11.0000
  25  1.04575   -8.0369
  26  1.05635   -9.1348
  27  1.04686  -11.2916
  28  1.05870   -5.2632
  29  1.06000   -2.4241
  30  1.04686    1.7076
  31  1.03899    0.0000
  32  1.03812    1.1705
  33  1.00137   -8.4186
  34  1.01383   -6.6766
  35  1.06000    1.1639
  36  1.06000    3.9375
  37  1.02044   -7.5232
  38  1.03973    4.7652
  39  1.02632  -10.3316
