# Wes Sander, MoltFire
pglib_opf_case500_goc: AC-OPF objective 454945.984555 $/h (verified feasible at 1e-06 pu)

gen  bus  Pg[MW]  Qg[MVAr]
  0  272    46.9000    18.0100
  1  275     0.0000     0.0000
  2  276   888.2000    90.1938
  3  277    25.0000     9.6000
  4  277    25.0000     9.6000
  5  277    25.0000     9.6000
  6  277    25.0000     9.6000
  7  280   158.7000   -16.1925
  8  281     0.0000     0.0000
  9  284   217.3330    41.9401
 10  285   217.3330    39.9946
 11  286   217.3330    33.9484
 12  287     0.0000     0.0000
 13  288     0.0000     0.0000
 14  289   217.3330    43.9079
 15  292     0.5000     0.1078
 16  292     0.5000     0.1078
 17  294     0.0000     0.0000
 18  297   178.4670    52.3828
 19  298   178.4670    34.4734
 20  299     0.0000     0.0000
 21  300   178.4670    26.6962
 22  301     0.0000     0.0000
 23  302   178.4670    35.2495
 24  303    67.5000    25.8290
 25  303    67.5000    25.8290
 26  306     0.0000     0.0000
 27  306     7.0000    -0.7003
 28  307    33.7000    12.6959
 29  307    33.7000    12.6959
 30  307     0.0000     0.0000
 31  311     0.0000     0.0000
 32  312  1164.6670   181.8428
 33  313  1164.6670   188.8738
 34  316   332.6170    47.7312
 35  317     0.0000     0.0000
 36  318   332.6170    45.2322
 37  319   332.6170    57.8264
 38  320     0.0000     0.0000
 39  321     0.0000     0.0000
 40  324     0.0000     0.0000
 41  325   120.0000    14.6976
 42  326   120.0000    15.3625
 43  327     0.0000     0.0000
 44  328   120.0000    17.5052
 45  329   120.0000    17.1033
 46  330     1.0000     0.4660
 47  330     1.0000     0.4660
 48  330     1.0000     0.4660
 49  330     1.0000     0.4660
 50  334    69.0000    16.6940
 51  335     0.0000     0.0000
 52  338   234.8500    36.6817
 53  339   234.8500    50.2998
 54  340     0.0000     0.0000
 55  341   234.8500    42.5529
 56  343     0.0000     0.0000
 57  344   179.3330    -3.1508
 58  345     0.0000     0.0000
 59  346    48.5000     8.2913
 60  346    48.5000     8.2913
 61  347     0.0000     0.0000
 62  347    75.0000    20.3068
 63  347    75.0000    20.3068
 64  350    28.8000    11.0589
 65  351    28.8000    11.0590
 66  351    28.8000    11.0590
 67  351    28.8000    11.0590
 68  354   110.0000     8.8631
 69  356    30.3330     7.2571
 70  356    30.3330     7.2571
 71  356     0.0000     0.0000
 72  357    21.2000    -2.5860
 73  358    52.6500    17.9474
 74  358    52.6500    17.9474
 75  358    52.6500    17.9474
 76  358     0.0000     0.0000
 77  359     0.0000     0.0000
 78  359    27.6000    14.0480
 79  362   102.9849   100.7045
 80  363    78.1910    61.0683
 81  364     0.0000     0.0000
 82  365   286.1130    48.1932
 83  367    20.5000     5.5378
 84  368    20.5000     7.0952
 85  368     0.0000     0.0000
 86  369     0.0000     0.0000
 87  371   103.7861     6.1519
 88  372   133.8980     8.3393
 89  375    25.0000    -2.7750
 90  378   231.7750    22.1218
 91  379   202.5964    22.6793
 92  380   231.7750    26.6973
 93  381   231.7750    24.2604
 94  382     0.0000     0.0000
 95  382     7.4000    -0.3629
 96  382     7.4000    -0.3629
 97  382     7.4000    -0.3629
 98  384     0.0000     0.0000
 99  384    15.0000    -0.7348
100  384    15.0000    -0.7348
101  384    15.0000    -0.7348
102  386    67.3330    -2.3023
103  386    67.3330    -2.3023
104  386    67.3330    -2.3023
105  386    67.3330    -2.3023
106  386    67.3330    -2.3023
107  386     0.0000     0.0000
108  391   141.5000    13.4842
109  392     0.0000     0.0000
110  393     0.0000     0.0000
111  394     0.0000     0.0000
112  395    29.5000     4.1057
113  395    29.5000     4.1057
114  396    29.5000    11.3277
115  396    29.5000    11.3277
116  396    29.5000    11.3277
117  396    29.5000    11.3277
118  398    79.3330    25.3414
119  398    79.3330    25.3414
120  398    79.3330    25.3414
121  398    79.3330    25.3414
122  398    79.3330    25.3414
123  398    79.3330    25.3414
124  399     1.5000    -0.0737
125  399     0.0000     0.0000
126  401     0.0000     0.0000
127  402    61.2500     3.5864
128  404    42.5000     4.1742
129  404    42.5000     4.1742
130  404    42.5000     4.1742
131  404    42.5000     4.1742
132  407   109.0000   -11.1452
133  408   109.0000    -2.8971
134  409   109.0000    -0.7368
135  410   109.0000    -1.7428
136  411   109.0000     0.4930
137  412   109.0000    -2.0181
138  413    53.9000    18.5603
139  416     0.0000     0.0000
140  417   138.9631    46.9860
141  418     0.0000     0.0000
142  419    86.3691    21.1939
143  420   139.6233    18.2417
144  421     0.0000     0.0000
145  421    51.5000    -5.7169
146  424   156.7877   -32.9400
147  425     0.0000     0.0000
148  426   102.8160   -32.9400
149  427   144.3620   -32.9400
150  428     0.0000     0.0000
151  431   225.0000    65.5303
152  432   225.0000    63.8642
153  433   225.0000    97.2092
154  434   225.0000    92.1994
155  437     0.0000     0.0000
156  438     0.0000     0.0000
157  439   225.6000   101.4557
158  440   225.6000   114.8294
159  441    42.7000    14.8855
160  441    42.7000    14.8855
161  441    42.7000    14.8855
162  443     0.0000     0.0000
163  443     0.0000     0.0000
164  444     3.0000    -0.3330
165  444     0.0000     0.0000
166  448   129.5820    15.7311
167  449   137.7500    15.2081
168  450   150.3179    16.4664
169  451   100.9906    12.8976
170  452   156.2763    19.8730
171  453     0.0000     0.0000
172  453    24.3000     9.3310
173  453    24.3000     9.3310
174  456   187.0000    37.6338
175  457   187.0000    46.8226
176  458   187.0000    33.7765
177  459   187.0000    44.1636
178  462   274.2670    28.2424
179  463   274.2670    26.7348
180  464     0.0000     0.0000
181  466    25.2500     1.7556
182  466    25.2500     1.7556
183  470   183.0950   -18.6430
184  471    90.7460   -24.9060
185  472    24.5000    12.4710
186  472    24.5000    12.4710
187  475     0.0000     0.0000
188  475    29.2000    -1.4310
189  476    29.2000    -1.4310
190  478    49.3000     1.0897
191  478    49.3000     1.0897
192  481     0.0000     0.0000
193  482     0.0000     0.0000
194  483   189.0850   -41.1026
195  484   113.9040   -35.6114
196  485     0.0000     0.0000
197  486    28.8330     1.8086
198  486    28.8330     1.8086
199  486     0.0000     0.0000
200  486    28.8330     1.8086
201  486     0.0000     0.0000
202  486    28.8330     1.8086
203  487    12.5000     6.3621
204  488     6.4330    -0.3145
205  488     6.4330    -0.3145
206  488     6.4330    -0.3145
207  488     6.4330    -0.3145
208  488     6.4330    -0.3145
209  488     6.4330    -0.3145
210  489     1.4330    -0.1750
211  489     1.4330    -0.1750
212  489     1.4330    -0.1750
213  489     1.4330    -0.1750
214  489     1.4330    -0.1750
215  489     1.4330    -0.1750
216  490     0.0000     0.0000
217  493   140.0000    17.9449
218  494   140.0000    22.5627
219  496    90.5000    34.7518
220  496    90.5000    34.7518
221  499     1.7330    -0.0847
222  499     1.7330    -0.0847
223  499     1.7330    -0.0847

bus  Vm[pu]  Va[deg]
   1  1.05918  -14.5227
   2  1.02316  -16.4140
   3  1.03921  -16.4124
   4  1.06584  -11.6292
   5  1.07032  -10.6878
   6  1.06838  -11.6084
   7  1.09054   -6.4565
   8  1.09322   -5.8625
   9  1.07244  -17.1461
  10  1.06271  -14.3199
  11  1.06039  -17.2158
  12  1.06463  -13.8596
  13  1.06498  -12.7543
  14  1.07300  -13.3713
  15  1.07830  -10.5164
  16  1.08202   -7.7916
  17  1.05278  -14.8373
  18  1.07934   -3.2850
  19  1.07661   -5.2803
  20  1.06206  -18.3516
  21  1.06625  -20.7041
  22  1.06272  -18.2658
  23  1.06273  -21.1049
  24  1.06269  -12.0099
  25  1.06688   -6.2435
  26  1.09397   -8.0443
  27  1.06626   -6.3013
  28  1.08457   -8.1642
  29  1.08324   -8.6038
  30  1.08679   -8.4337
  31  1.05966  -24.5266
  32  1.02233  -15.8435
  33  1.01777  -14.6712
  34  1.03046  -13.1720
  35  1.04684  -16.2608
  36  1.02346  -16.7241
  37  1.03755  -17.5140
  38  1.03510  -16.3185
  39  1.03988  -15.2563
  40  1.05123  -16.8695
  41  1.01186  -11.7163
  42  1.07578  -14.9997
  43  1.01626  -11.4600
  44  1.06115  -16.3016
  45  1.03647  -16.8943
  46  1.05274  -16.5846
  47  1.04185  -17.8330
  48  1.05361  -15.6104
  49  1.04046  -17.6114
  50  1.04794  -16.4721
  51  1.05632  -15.2291
  52  1.03391  -10.8027
  53  1.03400  -14.9233
  54  1.03575  -10.3555
  55  1.07750  -12.9605
  56  1.05363  -14.3719
  57  1.07934  -12.1934
  58  1.06059  -20.2813
  59  1.08426  -21.5905
  60  1.07985  -17.1343
  61  1.08189  -10.8856
  62  1.06683  -21.4624
  63  1.08251   -7.5447
  64  1.09687   -9.0519
  65  1.06836  -13.4283
  66  1.08320  -11.6918
  67  1.05256  -25.1152
  68  1.09577    2.1651
  69  1.07473  -12.5056
  70  1.06786  -13.0210
  71  1.06641  -12.6881
  72  1.07848  -13.2691
  73  1.06944  -12.1550
  74  1.06842  -10.4150
  75  1.09083   -6.7204
  76  1.06869  -13.1006
  77  1.05454  -28.5779
  78  1.05838  -27.7157
  79  1.05984  -27.8487
  80  1.07414   -8.7138
  81  1.08306   -4.4868
  82  1.06106   -7.6765
  83  1.08101   -5.0668
  84  1.07729   -6.3158
  85  1.04968  -16.9452
  86  1.05988  -13.6665
  87  1.05988  -12.5046
  88  1.06303  -15.4805
  89  1.05763  -13.4640
  90  1.06669   -9.6611
  91  1.06417  -11.8573
  92  1.06623   -9.7183
  93  1.07006  -12.2240
  94  1.05305  -27.4803
  95  1.05018  -16.4675
  96  1.07521  -10.6387
  97  1.06725  -10.0297
  98  1.08080  -12.7479
  99  1.06662  -10.0761
 100  1.05390  -16.2031
 101  1.05851  -15.7838
 102  1.08192  -11.7408
 103  1.09098  -10.5528
 104  1.07438  -16.8117
 105  1.05253  -18.7331
 106  1.04325  -24.8599
 107  1.06749  -27.1785
 108  1.04509  -24.6491
 109  1.08042  -13.1212
 110  1.07413   -4.0400
 111  1.05985   -5.8160
 112  1.06546   -4.2618
 113  1.07610   -3.3432
 114  1.06591   -4.8339
 115  1.05056  -29.7201
 116  1.06377  -31.9543
 117  1.09169   -8.2610
 118  1.06882  -13.4502
 119  1.07456   -6.4220
 120  1.10000   -9.4197
 121  1.07577   -6.3209
 122  1.08015  -10.9234
 123  1.07336  -11.1870
 124  1.07640  -10.3171
 125  1.06587  -11.6792
 126  1.06512  -17.0976
 127  1.07653  -16.8206
 128  1.06349  -14.2621
 129  1.05974  -14.6238
 130  1.05058  -20.9062
 131  1.05647  -31.4743
 132  1.07940  -10.5731
 133  1.07563   -8.5184
 134  1.08860   -7.1711
 135  1.06584   -4.3289
 136  1.10000   -6.0682
 137  1.06562   -4.3580
 138  1.09548  -14.1222
 139  1.07558   -6.5771
 140  1.06166   -7.7264
 141  1.07281   -6.5948
 142  1.06946   -8.0489
 143  1.05504  -13.2755
 144  1.07086  -12.4602
 145  1.02833  -16.7079
 146  1.06881   -9.0090
 147  1.06722  -10.5788
 148  1.06862   -8.4391
 149  1.06275   -9.1239
 150  1.08461   -7.4071
 151  1.08051   -3.9887
 152  1.09503   -6.3268
 153  1.07986   -4.0631
 154  1.07908   -7.5090
 155  1.07966   -7.7934
 156  1.10000  -14.7164
 157  1.05784  -12.7898
 158  1.06526  -12.6624
 159  1.09331    0.4050
 160  1.08575   -9.5549
 161  1.05362  -16.4624
 162  1.07260  -10.0438
 163  1.06477  -14.0198
 164  1.07730  -16.3030
 165  1.07171   -6.8284
 166  1.07170   -6.8702
 167  1.08136   -9.3138
 168  1.08233  -12.9597
 169  1.04571  -21.3338
 170  1.04830  -27.1834
 171  1.05497  -26.9695
 172  1.04214  -30.8879
 173  1.05185  -31.6634
 174  1.04879  -27.2302
 175  1.05658  -26.9465
 176  1.10000  -31.8936
 177  1.06455  -31.9531
 178  1.04593  -30.4654
 179  1.05498  -21.5856
 180  1.07810   -9.6874
 181  1.07637  -11.0778
 182  1.07876   -4.3791
 183  1.06907  -10.5981
 184  1.06944  -10.7028
 185  1.07276   -5.9778
 186  1.07300  -12.2786
 187  1.06656   -9.9609
 188  1.07931  -10.2950
 189  1.06881  -11.2881
 190  1.05807   -8.8541
 191  1.08658  -10.0380
 192  1.05748   -8.9200
 193  1.06594  -11.4323
 194  1.06304  -14.7263
 195  1.07240   -7.9123
 196  1.06687   -5.0910
 197  1.06648  -11.9925
 198  1.06398   -8.4318
 199  1.07181  -14.9131
 200  1.07374  -15.4587
 201  1.05229  -15.9046
 202  1.05088  -15.6566
 203  1.09571   -7.2903
 204  1.09299   -5.9999
 205  1.05875  -15.7484
 206  1.06224  -30.2139
 207  1.07797   -7.9090
 208  1.07273  -11.2693
 209  1.07749  -11.2985
 210  1.05761  -14.3194
 211  1.06124  -16.1875
 212  1.06145  -11.0845
 213  1.06441  -17.9758
 214  1.10000  -18.2619
 215  1.07425  -11.8480
 216  1.07329  -13.2263
 217  1.09108   -6.6630
 218  1.09371   -8.6566
 219  1.10000   -9.9535
 220  1.09461   -5.2319
 221  1.08195  -13.7802
 222  1.06584  -15.3736
 223  1.07536   -5.2370
 224  1.08053   -2.2754
 225  1.07545   -7.6264
 226  1.08864  -17.5426
 227  1.07675   -7.5908
 228  1.05203  -28.1407
 229  1.08474   -4.0581
 230  1.06688   -7.3956
 231  1.05174  -22.6043
 232  1.06447  -25.3943
 233  1.05152  -22.6386
 234  1.05641  -26.9042
 235  1.09234  -12.5394
 236  1.07131  -12.3114
 237  1.07903   -5.6958
 238  1.08367   -2.9582
 239  1.03991  -29.6308
 240  1.07844  -17.1672
 241  1.08867   -8.4821
 242  1.07490  -11.0504
 243  1.07168  -11.4938
 244  1.06401  -29.8284
 245  1.10000  -23.5179
 246  1.04794   -9.2699
 247  1.07122   -5.6807
 248  1.10000  -17.2959
 249  1.08409  -16.4996
 250  1.07966  -15.4799
 251  1.06253  -14.8209
 252  1.03630  -10.9313
 253  1.08405  -12.9012
 254  1.03541  -10.9904
 255  1.08406  -13.3361
 256  1.07247  -15.2329
 257  1.07140  -13.7936
 258  1.07334  -13.6248
 259  1.07466  -13.7848
 260  1.07463   -4.1200
 261  1.06475   -6.4449
 262  1.08446  -10.3699
 263  1.08126  -11.2919
 264  1.07229   -7.6276
 265  1.08167  -11.4379
 266  1.07031   -8.4356
 267  1.07470  -13.3604
 268  1.06997   -9.2769
 269  1.08164  -10.1603
 270  1.08000   -9.7069
 271  1.05489  -16.4898
 272  1.07373  -13.7455
 273  1.07349   -6.6016
 274  1.07318   -9.2760
 275  1.02238   -6.6016
 276  1.02953   -0.7718
 277  1.08826   -6.6408
 278  1.05205  -24.6901
 279  1.05480  -26.2477
 280  1.03392  -22.0900
 281  1.04551  -24.6901
 282  1.07587    0.4211
 283  1.08944   -1.8669
 284  1.07880    3.2290
 285  1.07974    3.7635
 286  1.07762    3.4615
 287  1.06919    0.4211
 288  1.06919    0.4211
 289  1.07895    3.1359
 290  1.07449    0.2108
 291  1.07945   -7.1428
