# Wes Sander, MoltFire
pglib_opf_case57_ieee: AC-OPF objective 37589.339502 $/h (verified feasible at 1e-06 pu)

gen  bus  Pg[MW]  Qg[MVAr]
  0    1   245.0000    75.0973
  1    2     0.0000    49.9989
  2    3    59.9998    29.9989
  3    6     0.0000    12.6644
  4    8   860.3416   132.8893
  5    9     0.0000     8.9998
  6   12   139.8202   125.9918

bus  Vm[pu]  Va[deg]
   1  1.02609    0.0000
   2  1.01623    0.0260
   3  1.00947   -0.1167
   4  1.01001    0.9728
   5  1.01797    3.5892
   6  1.02786    5.2597
   7  1.03131    9.1434
   8  1.06000   15.0030
   9  0.99622    3.3055
  10  0.97955   -4.2573
  11  0.97869   -0.8360
  12  0.99653   -7.4356
  13  0.97722   -3.4449
  14  0.97189   -3.4708
  15  0.99311   -2.2311
  16  0.99778   -6.7297
  17  1.00363   -4.3056
  18  1.03017   -3.3446
  19  0.98902   -5.0682
  20  0.97588   -5.4820
  21  1.01507   -5.5646
  22  1.01456   -5.5624
  23  1.01382   -5.4488
  24  1.01698   -2.8017
  25  1.00213   -8.0887
  26  0.97296   -1.9606
  27  1.01572    2.7703
  28  1.03981    4.8960
  29  1.06000    6.2389
  30  0.98069   -8.8294
  31  0.95003  -10.0284
  32  0.95710  -10.0451
  33  0.95482  -10.0841
  34  0.96724   -6.7086
  35  0.97331   -6.5491
  36  0.98211   -6.3352
  37  0.99032   -6.2216
  38  1.01588   -5.7816
  39  0.98841   -6.2380
  40  0.97937   -6.3122
  41  1.00259   -5.1583
  42  0.97082   -6.8883
  43  1.01478   -2.1141
  44  1.01968   -5.3413
  45  1.03755   -3.6690
  46  1.06000   -4.9106
  47  1.03350   -5.9613
  48  1.02842   -5.9216
  49  1.03512   -6.2017
  50  1.02038   -6.5305
  51  1.04637   -5.3880
  52  1.02353    3.9528
  53  1.01066    2.8658
  54  1.02459    2.4959
  55  1.04812    2.5415
  56  0.97058   -7.7182
  57  0.96606   -8.4465
