# Wes Sander, MoltFire
pglib_opf_case588_sdet: AC-OPF objective 313139.782762 $/h (verified feasible at 1e-06 pu)

gen  bus  Pg[MW]  Qg[MVAr]
  0    3     0.0000     0.0000
  1    4   281.7400   168.3467
  2    9     0.0000     0.0000
  3   10    97.5000    20.5100
  4   15  -200.0000   -61.9993
  5   15  -200.0000   -61.9993
  6   15   179.0000   -74.9992
  7   16  -200.0000   -86.0504
  8   19    26.0000    32.0704
  9   20     0.0000     0.0000
 10   22     0.0000    -0.4384
 11   29     0.0000     1.7482
 12   30     0.0000    10.5790
 13   37     0.0000   -14.8121
 14   44   163.6786    -2.8245
 15   45     0.0000    49.2298
 16   49     0.0000     0.5612
 17   54     0.0000    13.9732
 18   54     0.0000     0.0000
 19   58   195.0668     8.8945
 20   60     0.0000    10.8856
 21   68     0.0000     0.0000
 22   69   172.1800  -352.6600
 23   74     0.0000     0.0000
 24   75    78.0800    24.7075
 25   80   179.0000    -7.9341
 26   80   165.7263    -7.9341
 27   80  -200.0000    -8.6317
 28   81   179.0000    67.1236
 29   84    26.0000    34.9994
 30   85     0.0000     0.0000
 31   87     0.0000     0.8270
 32   94     0.0000     0.1789
 33   95     0.0000    38.5029
 34  102     0.0000    15.2717
 35  109   175.8161    -3.9352
 36  110     0.0000    91.1717
 37  114   144.7773     5.5021
 38  119    31.6576   -86.7250
 39  119     0.0000     0.0000
 40  123     0.0000     9.6320
 41  125     0.0000    34.4519
 42  132     0.0000     0.0000
 43  133    60.6900    16.0159
 44  135     0.0000     0.0000
 45  138    10.4700   -12.4800
 46  142     0.0000     0.0000
 47  144     0.0000     0.0000
 48  152     0.0000     8.1017
 49  153     0.0000    22.4703
 50  153     0.0000    31.4255
 51  153     0.0000     0.0000
 52  157     0.0000     0.0000
 53  159     0.0000     0.0000
 54  160     0.0000     0.0000
 55  167     0.0000     0.0000
 56  168     0.0000     0.0000
 57  172     0.0000   -53.5388
 58  178     0.0000    -6.0453
 59  180     0.0000     0.0000
 60  183   205.0000   138.7490
 61  184     0.0000     0.0000
 62  184     0.0000     0.0000
 63  184   100.0000    27.3898
 64  185    90.0000   126.5931
 65  186     0.0000     0.0000
